Quarterly Data,Quarter,BLS Labor Productivity Index (2009=100),Labor Force (thousands),Real GDP (billions 2012 constant dollars),Population (thousands),NBER Recession Dates (1 = recession; blank=expansion)
,1996:2,70.9,133591,10998.3,269116,
,1996:3,71.2,134284,11097.0,269976,
,1996:4,71.3,135014,11212.2,270861,
,1997:1,71.3,135582,11284.6,271589,
,1997:2,72.2,136115,11472.1,272349,
,1997:3,72.9,136590,11615.6,273234,
,1997:4,73.3,136916,11715.4,274117,
,1998:1,73.7,137148,11832.5,274837,
,1998:2,74.0,137326,11942.0,275568,
,1998:3,75.1,137815,12091.6,276416,
,1998:4,75.8,138431,12287.0,277269,
,1999:1,76.7,138900,12403.3,277993,
,1999:2,77.0,139132,12498.7,278723,
,1999:3,77.7,139497,12662.4,279600,
,1999:4,78.8,139991,12877.6,280463,
,2000:1,78.5,142386,12924.2,281192,
,2000:2,80.2,142577,13160.8,281885,
,2000:3,80.1,142437,13178.4,282657,
,2000:4,81.0,142944,13260.5,283450,
,2001:1,80.7,143808,13222.7,284136,1
,2001:2,82.0,143415,13300.0,284818,1
,2001:3,82.4,143642,13244.8,285574,1
,2001:4,83.5,144210,13280.9,286336,1
,2002:1,85.1,144339,13397.0,286991,
,2002:2,85.4,144824,13478.2,287628,
,2002:3,86.2,145121,13538.1,288361,
,2002:4,86.0,145140,13559.0,289096,
,2003:1,86.9,146020,13634.3,289714,
,2003:2,88.3,146677,13751.5,290352,
,2003:3,90.0,146487,13985.1,291071,
,2003:4,90.7,146815,14145.6,291796,
,2004:1,91.0,146832,14221.1,292374,
,2004:2,91.6,147125,14329.5,293000,
,2004:3,92.0,147557,14465.0,293718,
,2004:4,92.7,148005,14609.9,294463,
,2005:1,93.6,148261,14771.6,295102,
,2005:2,93.3,149142,14839.8,295710,
,2005:3,94.1,149722,14972.1,296444,
,2005:4,94.2,150032,15066.6,297203,
,2006:1,94.8,150556,15267.0,297854,
,2006:2,94.8,151101,15302.7,298505,
,2006:3,94.3,151585,15326.4,299271,
,2006:4,94.8,152393,15456.9,300090,
,2007:1,94.8,153059,15493.3,300799,
,2007:2,95.6,152715,15582.1,301492,
,2007:3,96.7,153072,15666.7,302272,
,2007:4,97.0,153645,15762.0,303049,1
,2008:1,96.2,153875,15671.4,303708,1
,2008:2,97.1,154128,15752.3,304332,1
,2008:3,97.4,154560,15667.0,305051,1
,2008:4,96.8,154723,15328.0,305781,1
,2009:1,97.5,154294,15155.9,306399,1
,2009:2,99.4,154657,15134.1,306992,1
,2009:3,101.0,154212,15189.2,307690,
,2009:4,102.2,153591,15356.1,308413,
,2010:1,102.6,153711,15415.1,309024,
,2010:2,103.0,154110,15557.3,309374,
,2010:3,103.6,153917,15672.0,309976,
,2010:4,103.9,153803,15750.6,310622,
,2011:1,103.0,153284,15712.8,311156,
,2011:2,103.3,153456,15825.1,311667,
,2011:3,103.1,153726,15820.7,312279,
,2011:4,103.8,154028,16004.1,312910,
,2012:1,103.8,154600,16129.4,313437,
,2012:2,104.4,154831,16198.8,313948,
,2012:3,104.1,154957,16220.7,314550,
,2012:4,103.7,155507,16239.1,315185,
,2013:1,104.3,155360,16383.0,315677,
,2013:2,104.3,155560,16403.2,316158,
,2013:3,104.7,155630,16531.7,316764,
,2013:4,105.7,155040,16663.6,317417,
,2014:1,104.9,155664,16621.7,317966,
,2014:2,105.5,155570,16830.1,318500,
,2014:3,106.4,156051,17033.6,319135,
,2014:4,105.8,156380,17113.9,319811,
,2015:1,106.5,156850,17254.7,320350,
,2015:2,106.9,157190,17397.0,320874,
,2015:3,107.3,156956,17438.8,321505,
,2015:4,106.6,157539,17456.2,322169,
,2016:1,106.3,158817,17523.4,322713,
,2016:2,106.5,158802,17622.5,323229,
,2016:3,107.2,159485,17706.7,323849,
,2016:4,107.7,159660,17784.2,324496,
,2017:1,107.5,159983,17863.0,325028,
,2017:2,107.9,160041,17995.2,325543,
,2017:3,108.8,160716,18120.8,326163,
,2017:4,108.7,160500,18223.8,326810,
,2018:1,108.9,161600,18324.0,327343,
